species,decimalLatitude,decimalLongitude,eventDate,scientificName,phylum,class,order,family,genus
Paracalanus denudatus,19.1,69.0167,1976-10-10T10:00:00Z,Paracalanus denudatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Arothron hispidus,11.49658,79.77761,,Arothron hispidus,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Arothron
Lates calcarifer,21.7039313,89.2610014,2023-01-09,Lates calcarifer,Chordata,Teleostei,Carangaria incertae sedis,Latidae,Lates
Flaccisagitta enflata,8.77000045776,94.5699996948,,Flaccisagitta enflata,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Flaccisagitta
Branchinella (Branchinellites) maduraiensis,9.89999961853,77.3170013428,1980-10-18T12:00:00Z,Branchinella (Branchinellites) maduraiensis,Arthropoda,Branchiopoda,Anostraca,Thamnocephalidae,Branchinella
Xestospongia testudinaria,9.0972,78.5399,2017/2020,Xestospongia testudinaria,Porifera,Demospongiae,Haplosclerida,Petrosiidae,Xestospongia
Sabatieria longisetosa,10.56716667,79.86883333,2008-12,Sabatieria longisetosa,Nematoda,Chromadorea,Araeolaimida,Comesomatidae,Sabatieria
Peltidium monardi,10.0,93.0,1935-07-02T12:00:00Z,Peltidium monardi,Arthropoda,Copepoda,Harpacticoida,Peltidiidae,Peltidium
Gymnachirus nudus,12.0,70.0,1963-09-27,Gymnachirus nudus,Chordata,Teleostei,Pleuronectiformes,Achiridae,Gymnachirus
Ilisha filigera,18.9330005646,72.8499984741,,Ilisha filigera,Chordata,Teleostei,Clupeiformes,Pristigasteridae,Ilisha
Pagurapseudopsis gymnophobia,9.973888889,76.24416667,2002/2004,Pagurapseudopsis gymnophobia,Arthropoda,Malacostraca,Tanaidacea,Pagurapseudopsididae,Pagurapseudopsis
Zoanthus sociatus,20.68333333,70.76666667,2007/2009,Zoanthus sociatus,Cnidaria,Hexacorallia,Zoantharia,Zoanthidae,Zoanthus
Pethia ticto,26.61072222,87.12744444,10/23/2008,Pethia ticto,Chordata,Teleostei,Cypriniformes,Cyprinidae,Pethia
Auletta elongata,19.15277778,84.88611111,1908/1910,Auletta elongata,Porifera,Demospongiae,Bubarida,Bubaridae,Auletta
Propionigenium maris,22.7443,69.955,2017-01-01,Propionigenium maris,Fusobacteria,Fusobacteria,Fusobacteriales,Fusobacteriaceae,Propionigenium
Globigerinella calida,18.28,89.51,,Globigerinella calida,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerinella
Triconia conifera,9.96666717529,76.2166671753,1891-07-02T12:00:00Z,Triconia conifera,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia
Porites murrayensis,10.58,72.59,1988/1989,Porites murrayensis,Cnidaria,Hexacorallia,Scleractinia,Poritidae,Porites
Arius maculatus,21.7565804,89.2230174,2023-01-08,Arius maculatus,Chordata,Teleostei,Siluriformes,Ariidae,Arius
Iago mangalorensis,12.862,74.676,2008/2013,Iago mangalorensis,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Iago
Bufonaria elegans,15.0,90.0,1836-07-02T00:00:00Z,Bufonaria elegans,Mollusca,Gastropoda,Littorinimorpha,Bursidae,Bufonaria
Clausocalanus arcuicornis,9.2333,76.0667,1967-06-21T10:30:00Z,Clausocalanus arcuicornis,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus
Otolithes ruber,10.0,93.0,1801-07-02T12:00:00Z,Otolithes ruber,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Otolithes
Doxomysis quadrispinosa,9.0,76.37,1962/1964,Doxomysis quadrispinosa,Arthropoda,Malacostraca,Mysida,Mysidae,Doxomysis
Glycera alba,13.6666669846,80.1666641235,1788-07-02T00:00:00Z,Glycera alba,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera
Undinula vulgaris,19.8333,90.8333,1971-11-21T17:19:48Z,Undinula vulgaris,Arthropoda,Copepoda,Calanoida,Calanidae,Undinula
Brachidontes exustus,26.71667,77.23333,8/17/09,Brachidontes exustus,Mollusca,Bivalvia,Mytilida,Mytilidae,Brachidontes
Platanista gangetica,27.68575,68.851083,2001-04-12T13:22:00,Platanista gangetica minor,Chordata,Mammalia,Cetartiodactyla,Platanistidae,Platanista
Atropus atropos,20.3166999817,86.75,1801-07-02T12:00:00Z,Atropus atropos,Chordata,Teleostei,Carangiformes,Carangidae,Atropus
Chromis ternatensis,10.0,93.0,1830-07-02T12:00:00Z,Chromis ternatensis,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Chromis
Serratosagitta pacifica,17.8700008392,85.1999969482,,Serratosagitta pacifica,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Serratosagitta
Acropora indica,9.21000003815,79.1299972534,,Acropora indica,Cnidaria,Hexacorallia,Scleractinia,Acroporidae,Acropora
Nannocalanus minor,20.3333,89.4167,1971-11-23T09:49:48Z,Nannocalanus minor,Arthropoda,Copepoda,Calanoida,Calanidae,Nannocalanus
Pinctada margaritifera,15.0,90.0,1758-07-02T12:00:00Z,Pinctada margaritifera,Mollusca,Bivalvia,Ostreida,Margaritidae,Pinctada
Dardanus megistos,10.0,93.0,1804,Dardanus megistos,Arthropoda,Malacostraca,Decapoda,Diogenidae,Dardanus
Globigerinoides ruber,9.0292,72.8778,1972-03-10,Globigerinoides ruber,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globigerinoides
Turborotalita humilis,17.24,90.29,,Turborotalita humilis,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Turborotalita
Cephalopholis miniata,8.6626,78.3192,2007/2008,Cephalopholis miniata,Chordata,Teleostei,Perciformes,Epinephelidae,Cephalopholis
Enoplolaimus longicaudatus,10.57833333,80.29305556,2008,Enoplolaimus longicaudatus,Nematoda,Enoplea,Enoplida,Thoracostomopsidae,Enoplolaimus
Mauritia arabica,8.75,82.5,1918,Mauritia arabica,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Mauritia
Halalaimus longicaudatus,14.16666667,80.43333333,2008,Halalaimus longicaudatus,Nematoda,Enoplea,Enoplida,Oxystominidae,Halalaimus
Oxyurichthys microlepis,18.933,72.85,,Oxyurichthys microlepis,Chordata,Teleostei,Gobiiformes,Gobiidae,Oxyurichthys
Trachinotus blochii,19.766666,85.333336,1801,Trachinotus blochii,Chordata,Teleostei,Carangiformes,Carangidae,Trachinotus
Solenocaulon tortuosum,10.0,93.0,1862,Solenocaulon tortuosum,Cnidaria,Octocorallia,Malacalcyonacea,Melithaeidae,Solenocaulon
Pseudanchialina pusilla,14.066667,85.75,1883,Pseudanchialina pusilla,Arthropoda,Malacostraca,Mysida,Mysidae,Pseudanchialina
Heteractis aurora,15.0,90.0,1833-07-02T12:00:00Z,Heteractis aurora,Cnidaria,Hexacorallia,Actiniaria,Heteractidae,Heteractis
Tudicla spirillus,13.083333,80.283333,,Tudicla spirillus,Mollusca,Gastropoda,Neogastropoda,Tudiclidae,Tudicla
Diopatra cuprea,8.50575,76.85418333,2009-08-16,Diopatra cuprea,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra
Viscosia elegans,12.30861111,80.46027778,2008,Viscosia elegans,Nematoda,Enoplea,Enoplida,Oncholaimidae,Viscosia
Vexillum sybillae,12.5,92.75,1888-07-02T00:00:00Z,Vexillum sybillae,Mollusca,Gastropoda,Neogastropoda,Costellariidae,Vexillum
Petroscirtes mitratus,11.658093,92.730345,,Petroscirtes mitratus,Chordata,Teleostei,Blenniiformes,Blenniidae,Petroscirtes
Pogonias cromis,29.10065,83.07689,,Pogonias cromis,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Pogonias
Dotillopsis brevitarsis,21.5,88.166664,1888,Dotillopsis brevitarsis,Arthropoda,Malacostraca,Decapoda,Dotillidae,Dotillopsis
Osangularia culter,9.0292,72.8778,1972-03-10,Osangularia culter,Foraminifera,Globothalamea,Rotaliida,Alabaminidae,Osangularia
Standella pellucida,19.7666664124,85.3333358765,,Standella pellucida,Mollusca,Bivalvia,Venerida,Mactridae,Standella
Lucicutia flavicornis,12.4167,73.6333,1973-09-06T15:49:48Z,Lucicutia flavicornis,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia
Spinocalanus angusticeps,13.8330001831,70.1169967651,1963-05-25T12:00:00Z,Spinocalanus angusticeps,Arthropoda,Copepoda,Calanoida,Spinocalanidae,Spinocalanus
Scolecithrix danae,9.1333,75.4167,1967-06-21T18:40:12Z,Scolecithrix danae,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithrix
Ambassis ambassis,13.083333,80.283333,,Ambassis ambassis,Chordata,Teleostei,Ovalentaria incertae sedis,Ambassidae,Ambassis
Paracalanus parvus,20.8167,89.1333,1971-06-26T04:10:12Z,Paracalanus parvus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Ophioderma appressum,14.3463,80.38406,2011-20-09,Ophioderma appressum,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiodermatidae,Ophioderma
Platanista gangetica,28.125767,69.30555,2001-04-08T08:51:00,Platanista gangetica minor,Chordata,Mammalia,Cetartiodactyla,Platanistidae,Platanista
Temora discaudata,18.45,71.1833,1976-10-13T19:00:00Z,Temora discaudata,Arthropoda,Copepoda,Calanoida,Temoridae,Temora
Krohnitta pacifica,8.72000026703,73.9700012207,,Krohnitta pacifica,Chaetognatha,Sagittoidea,Aphragmophora,Krohnittidae,Krohnitta
Neodilatilabrum succinctum,13.083333,80.283333,1991-04-01/1991-04-30,Neodilatilabrum succinctum,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Neodilatilabrum
Sardinella melanura,18.9330005646,72.8499984741,,Sardinella melanura,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Sardinella
Cypridina dentata,10.4799995422,75.5199966431,,Cypridina dentata,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina
Mauritia histrio,10.0,93.0,1791,Mauritia histrio,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Mauritia
Cypridina dentata,18.5,71.5,,Cypridina dentata,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina
Halichoeres timorensis,10.07,73.62,1988/1989,Halichoeres timorensis,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres
Lutjanus erythropterus,11.983,79.833,,Lutjanus erythropterus,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus
Euconchoecia aculeata,11.0,80.22,1962/1964,Euconchoecia aculeata,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Euconchoecia
Phaeocystis globosa,21.7547399,89.2839957,2023-01-09,Phaeocystis globosa,Haptophyta,Coccolithophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis
Platyconchoecia prosadene,16.0,87.0,,Platyconchoecia prosadene,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Platyconchoecia
Thalassiosira oceanica,22.7443,69.955,2017-01-01,Thalassiosira oceanica,Heterokontophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira
Amphicteis gunneri,12.73722222,74.23388889,1998/2001,Amphicteis gunneri,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphicteis
Rhina ancylostomus,8.6626,78.3192,2007/2008,Rhina ancylostomus,Chordata,Elasmobranchii,Rhinopristiformes,Rhinidae,Rhina
Leonnates decipiens,8.5,79.0,1929-07-02T12:00:00Z,Leonnates decipiens,Annelida,Polychaeta,Phyllodocida,Nereididae,Leonnates
Marphysa sanguinea,8.78333282471,78.1333312988,1815-07-02T12:00:00Z,Marphysa sanguinea,Annelida,Polychaeta,Eunicida,Eunicidae,Marphysa
Parapenaeus investigatoris,10.609,93.14,2012,Parapenaeus investigatoris,Arthropoda,Malacostraca,Decapoda,Penaeidae,Parapenaeus
Cabira brevicirris,9.5,79.25,1964-07-02T00:00:00Z,Cabira brevicirris,Annelida,Polychaeta,Phyllodocida,Pilargidae,Cabira
Pontellina plumata,9.1333,75.4167,1967-06-21T18:40:12Z,Pontellina plumata,Arthropoda,Copepoda,Calanoida,Pontellidae,Pontellina
Penaeus monodon,21.647223,87.63333,1798,Penaeus monodon,Arthropoda,Malacostraca,Decapoda,Penaeidae,Penaeus
Polydactylus microstoma,8.5,79.0,1851-07-02T12:00:00Z,Polydactylus microstoma,Chordata,Teleostei,Carangaria incertae sedis,Polynemidae,Polydactylus
Gymnothorax reticularis,14.0186,74.3271,2013-03-23T12:15:00,Gymnothorax reticularis,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnothorax
Zebrias quagga,10.0,93.0,1858-07-02T12:00:00Z,Zebrias quagga,Chordata,Teleostei,Pleuronectiformes,Soleidae,Zebrias
Calocalanus plumulosus,20.2,89.9,1971-11-22T02:15:00Z,Calocalanus plumulosus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus
Ferosagitta robusta,15.0346,84.2902,2006,Ferosagitta robusta,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta
Paralacydonia paradoxa,9.05,76.46111111,2005-01,Paralacydonia paradoxa,Annelida,Polychaeta,Phyllodocida,Paralacydoniidae,Paralacydonia
Paraconchoecia decipiens,17.0,71.5,,Paraconchoecia decipiens,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Paraconchoecia
Salmostoma bacaila,27.76747,68.858013,1968-11-01/11,Salmostoma bacaila,Chordata,Teleostei,Cypriniformes,Cyprinidae,Salmostoma
Dinophysis tripos,8.5,79.0,1883-07-02T12:00:00Z,Dinophysis tripos,Myzozoa,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis
Euchaeta concinna,21.1,89.2833,1971-06-26T12:00:00Z,Euchaeta concinna,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta
Fulvia laevigata,13.0166664124,92.9333343506,,Fulvia laevigata,Mollusca,Bivalvia,Cardiida,Cardiidae,Fulvia
Mesopodopsis orientalis,8.0,76.45,2003-09,Mesopodopsis orientalis,Arthropoda,Malacostraca,Mysida,Mysidae,Mesopodopsis
Pleuromamma indica,17.9833,70.1833,1967-06-29T03:30:00Z,Pleuromamma indica,Arthropoda,Copepoda,Calanoida,Metridinidae,Pleuromamma
Pseudo-nitzschia multiseries,16.667,88.437,2015-08-29,Pseudo-nitzschia multiseries,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia
Pollia undosa,11.0,72.5,1758-07-02T12:00:00Z,Pollia undosa,Mollusca,Gastropoda,Neogastropoda,Pisaniidae,Pollia
Coris gaimard,15.0,90.0,,Coris gaimard,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Coris
Dictyota dichotoma,15.71667,73.7,1809,Dictyota dichotoma,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota
Globoturborotalita rubescens,15.5895,68.5795,1995-10-15,Globoturborotalita rubescens,Foraminifera,Globothalamea,Rotaliida,Globigerinidae,Globoturborotalita
Subeucalanus crassus,10.9667,75.1,1973-09-07T21:18:00Z,Subeucalanus crassus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus
Scolionema suvaense,8.9532,78.8867,2002/2011,Scolionema suvaense,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Scolionema
Tubastraea aurea,22.6,69.5,1833,Tubastraea aurea,Cnidaria,Hexacorallia,Scleractinia,Dendrophylliidae,Tubastraea
Triloculina tricarinata,15.0,90.0,1826-07-02T12:00:00Z,Triloculina tricarinata,Foraminifera,Tubothalamea,Miliolida,Hauerinidae,Triloculina
Atule mate,11.483,79.8167,1986/1987,Atule mate,Chordata,Teleostei,Carangiformes,Carangidae,Atule
Agardhiella subulata,16.293368130974,84.102718975153,,Agardhiella subulata,Rhodophyta,Florideophyceae,Gigartinales,Solieriaceae,Agardhiella
Acroteriobatus variegatus,8.5,79.0,,Acroteriobatus variegatus,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Acroteriobatus
Bufoceratias wedli,12.4779,73.2697,1998/2007,Bufoceratias wedli,Chordata,Teleostei,Lophiiformes,Diceratiidae,Bufoceratias
Nursilia dentata,10.0,93.0,,Nursilia dentata,Arthropoda,Malacostraca,Decapoda,Leucosiidae,Nursilia
Ascampbelliella armilla,21.02194444,70.005,2009-03-01/2009-03-13,Ascampbelliella armilla,Ciliophora,Oligotrichea,Choreotrichida,Ascampbelliellidae,Ascampbelliella
Dictyopteris undulata,17.428,89.214,2015-09-16,Dictyopteris undulata,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris
Discorbinella bertheloti,9.0292,72.8778,1972-03-10,Discorbinella bertheloti,Foraminifera,Globothalamea,Rotaliida,Discorbinellidae,Discorbinella
Gazza achlamys,8.6626,78.3192,2007/2008,Gazza achlamys,Chordata,Teleostei,Acanthuriformes,Leiognathidae,Gazza
Hastigerina pelagica,14.6059,69.9776,2010-03-30,Hastigerina pelagica,Foraminifera,Globothalamea,Rotaliida,Hastigerinidae,Hastigerina
Noctiluca scintillans,18.15,70.3,1967-06-28T22:04:48Z,Noctiluca scintillans,Myzozoa,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca
Pocillopora damicornis,9.5,79.25,1758-07-02T12:00:00Z,Pocillopora damicornis,Cnidaria,Hexacorallia,Scleractinia,Pocilloporidae,Pocillopora
Macrosetella gracilis,9.1833,75.7167,1973-09-09T08:19:48Z,Macrosetella gracilis,Arthropoda,Copepoda,Harpacticoida,Miraciidae,Macrosetella
Centropages elongatus,15.0042,73.2849,1972,Centropages elongatus,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages
Ferosagitta robusta,12.8500003815,96.5699996948,,Ferosagitta robusta,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Ferosagitta
Pterois russelii,12.4779,73.2697,1998/2007,Pterois russelii,Chordata,Teleostei,Perciformes,Scorpaenidae,Pterois
Temora discaudata,20.8,89.8667,1971-11-22T07:30:00Z,Temora discaudata,Arthropoda,Copepoda,Calanoida,Temoridae,Temora
Aidanosagitta neglecta,18.3999996185,90.75,,Aidanosagitta neglecta,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta
Oplophorus gracilirostris,8.33455,93.44185,2017-11-14,Oplophorus gracilirostris,Arthropoda,Malacostraca,Decapoda,Oplophoridae,Oplophorus
Natica adansoni,10.0,93.0,1825,Natica adansoni,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Natica
Ovula ovum,11.67,92.75,1964,Ovula ovum,Mollusca,Gastropoda,Littorinimorpha,Ovulidae,Ovula
Centropages tenuiremis,13.65,73.6,1973-09-05T00:19:58Z,Centropages tenuiremis,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages
Placuna placenta,10.0,93.0,1758-07-02T12:00:00Z,Placuna placenta,Mollusca,Bivalvia,Pectinida,Placunidae,Placuna
Paracalanus denudatus,22.5167,68.2333,1976-10-04T05:00:00Z,Paracalanus denudatus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus
Brevoortia smithi,30.0,88.04868,,Brevoortia smithi,Chordata,Teleostei,Clupeiformes,Alosidae,Brevoortia
Rhizoprionodon oligolinx,18.933,72.85,,Rhizoprionodon oligolinx,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Rhizoprionodon
Euptilota articulata,9.283333,79.11667,1896,Euptilota articulata,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Euptilota
Pterosagitta draco,14.3000001907,72.3199996948,,Pterosagitta draco,Chaetognatha,Sagittoidea,Aphragmophora,Pterosagittidae,Pterosagitta
Microsetella rosea,13.0833,72.5167,1973-09-05T16:49:48Z,Microsetella rosea,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Microsetella
Scatophagus argus,21.827841,89.1954232,2023-01-08,Scatophagus argus,Chordata,Teleostei,Acanthuriformes,Scatophagidae,Scatophagus
Charybdis (Archias) smithii,19.8920001984,69.4000015259,1963-11-16T12:00:00Z,Charybdis (Archias) smithii,Arthropoda,Malacostraca,Decapoda,Portunidae,Charybdis
Nassarius stigmarius,8.27,73.04,1999/2001,Nassarius stigmarius,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Nassarius
Placospongia carinata,13.0925,80.29444,1858,Placospongia carinata,Porifera,Demospongiae,Clionaida,Placospongiidae,Placospongia
Lagocephalus inermis,19.966667,72.71667,1850,Lagocephalus inermis,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Lagocephalus
Conchoecia magna,16.8700008392,72.3000030518,,Conchoecia magna,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecia
Sclerophytum kavarattiense,10.5799999237,72.5999984741,,Sclerophytum kavarattiense,Cnidaria,Octocorallia,Malacalcyonacea,Sarcophytidae,Sclerophytum
Desmodora scaldensis,18.00666667,72.785,1998/2001,Desmodora scaldensis,Nematoda,Chromadorea,Desmodorida,Desmodoridae,Desmodora
Antillesoma antillarum,10.0,93.0,1858,Antillesoma antillarum,Annelida,,Sipuncula,Antillesomatidae,Antillesoma
Kuwaita heteropoda,17.99777778,72.36944444,1998/2001,Kuwaita heteropoda,Annelida,Polychaeta,Eunicida,Lumbrineridae,Kuwaita
Laubuka laubuca,26.5182991,86.9266968,1996-02-09,Laubuka laubuca,Chordata,Teleostei,Cypriniformes,Cyprinidae,Laubuka
Subeucalanus subcrassus,17.1167,92.05,1971-11-15T19:10:12Z,Subeucalanus subcrassus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus
Alacia alata,16.75,73.0,,Alacia alata,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Alacia
Labrenzia alexandrii,8.078,77.541,2012-10-01,Labrenzia alexandrii,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia
Drombus dentifer,19.7666664124,85.3333358765,1923-07-02T12:00:00Z,Drombus dentifer,Chordata,Teleostei,Gobiiformes,Gobiidae,Drombus
Antennarius hispidus,15.0,90.0,1801-07-02T12:00:00Z,Antennarius hispidus,Chordata,Teleostei,Lophiiformes,Antennariidae,Antennarius
Subeucalanus subcrassus,18.0333,70.0,1976-10-14T12:00:00Z,Subeucalanus subcrassus,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus
Conchoecilla daphnoides,14.9300003052,87.5699996948,,Conchoecilla daphnoides,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecilla
Platygyra daedalea,11.6700000763,92.7600021362,,Platygyra daedalea,Cnidaria,Hexacorallia,Scleractinia,Merulinidae,Platygyra
Temora turbinata,18.7833,72.5667,1967-06-28T02:10:12Z,Temora turbinata,Arthropoda,Copepoda,Calanoida,Temoridae,Temora
Microsetella rosea,8.6333,74.4333,1973-09-09T23:30:00Z,Microsetella rosea,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Microsetella
Acanthophora spicifera,16.293368130974,84.102718975153,,Acanthophora spicifera,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Acanthophora
Leptoseris papyracea,10.0,93.0,1846-07-02T12:00:00Z,Leptoseris papyracea,Cnidaria,Hexacorallia,Scleractinia,Agariciidae,Leptoseris
Nitocra rijekana,15.0,90.0,,Nitocra rijekana,Arthropoda,Copepoda,Harpacticoida,Ameiridae,Nitocra
Naso annulatus,11.0,72.5,1825-07-02T12:00:00Z,Naso annulatus,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Naso
Lyncina carneola,10.07,73.62,1988/1989,Lyncina carneola,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Lyncina
Temora stylifera,15.7667,73.3833,1967-06-26T02:19:48Z,Temora stylifera,Arthropoda,Copepoda,Calanoida,Temoridae,Temora
Glaucostegus granulatus,19.800808,85.847339,,Glaucostegus granulatus,Chordata,Elasmobranchii,Rhinopristiformes,Glaucostegidae,Glaucostegus
Stolephorus waitei,21.827841,89.1954232,2023-01-08,Stolephorus waitei,Chordata,Teleostei,Clupeiformes,Engraulidae,Stolephorus
Onyx ferox,9.166666667,76.38333333,2005/2006,Onyx ferox,Nematoda,Chromadorea,Desmodorida,Desmodoridae,Onyx
Diadumene lineata,19.0,72.8000030518,,Diadumene lineata,Cnidaria,Hexacorallia,Actiniaria,Diadumenidae,Diadumene
Physeter macrocephalus,9.40943,93.14046,1785/1913,Physeter macrocephalus,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Physeter
Euchaeta concinna,12.1167,73.2,1973-09-06T10:00:00Z,Euchaeta concinna,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta
Acanthurus leucosternon,8.0,97.0,,Acanthurus leucosternon,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus
Variola louti,11.0,72.5,1775-07-02T12:00:00Z,Variola louti,Chordata,Teleostei,Perciformes,Epinephelidae,Variola
Glycera longipinnis,10.76,75.91,1996,Glycera longipinnis,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera
Nusuttodinium poecilochroum,21.7565804,89.2230174,2023-01-08,Nusuttodinium poecilochroum,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Nusuttodinium
Lucicutia flavicornis,22.2833,68.05,1967-07-02T01:40:12Z,Lucicutia flavicornis,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia
Sarcophyton crassum,13.25,92.9166641235,1946-07-02T12:00:00Z,Sarcophyton crassum,Cnidaria,Octocorallia,Malacalcyonacea,Sarcophytidae,Sarcophyton
Herdmania pallida,13.22646667,93.05745,2016-08-21,Herdmania pallida,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Herdmania
Pleuromamma abdominalis,20.55,68.2333,1976-10-07T15:00:00Z,Pleuromamma abdominalis,Arthropoda,Copepoda,Calanoida,Metridinidae,Pleuromamma
Terapon jarbua,21.647223,87.63333,1775,Terapon jarbua,Chordata,Teleostei,Centrarchiformes,Terapontidae,Terapon
Euchaeta concinna,20.3,88.3167,1971-11-24T02:31:48Z,Euchaeta concinna,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta
Diopatra neapolitana,15.25083333,80.45611111,2008/2011,Diopatra neapolitana,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra
Temoropia mayumbaensis,18.1667,70.6667,1976-10-14T01:00:00Z,Temoropia mayumbaensis,Arthropoda,Copepoda,Calanoida,Fosshageniidae,Temoropia
Siphonodictyon diagonoxeum,8.47,79.02,1968,Siphonodictyon diagonoxeum,Porifera,Demospongiae,Haplosclerida,Phloeodictyidae,Siphonodictyon
Calocalanus plumulosus,20.0833,68.8667,1976-10-08T13:00:00Z,Calocalanus plumulosus,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus
Ditylum sol,19.30113333,84.96684444,2010,Ditylum sol,Heterokontophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum
Anguipecten picturatus,11.38,93.52,1963-03-28,Anguipecten picturatus,Mollusca,Bivalvia,Pectinida,Pectinidae,Anguipecten
Puntius sophore,26.57,93.16,1957-02-16,Puntius sophore,Chordata,Teleostei,Cypriniformes,Cyprinidae,Puntius
Acartia (Odontacartia) erythraea,21.1667,69.0833,1976-10-08T19:00:00Z,Acartia (Odontacartia) erythraea erythraea,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia
Cerithidea rhizophorarum,8.27,73.05,2000/2002,Cerithidea rhizophorarum,Mollusca,Gastropoda,Caenogastropoda incertae sedis,Potamididae,Cerithidea
Acetes indicus,22.6000003815,69.5,1830-07-02T12:00:00Z,Acetes indicus,Arthropoda,Malacostraca,Decapoda,Sergestidae,Acetes
